"Kind","Agent_Id","Queue_Id","Thread_Id","Dispatch_Id","Kernel_Id","Kernel_Name","Correlation_Id","Start_Timestamp","End_Timestamp","Private_Segment_Size","Group_Segment_Size","Workgroup_Size_X","Workgroup_Size_Y","Workgroup_Size_Z","Grid_Size_X","Grid_Size_Y","Grid_Size_Z"
"KERNEL_DISPATCH",2,1,1341235,29,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",166,1970372592325907,1970372592680512,24,35332,1024,1,1,8192,5,1
"KERNEL_DISPATCH",2,1,1341235,30,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",171,1970372592735076,1970372593089200,24,35332,1024,1,1,8192,5,1
"KERNEL_DISPATCH",2,1,1341235,31,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",176,1970372593142962,1970372593497246,24,35332,1024,1,1,8192,5,1
"KERNEL_DISPATCH",2,1,1341235,32,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",181,1970372593551770,1970372593905373,24,35332,1024,1,1,8192,5,1
"KERNEL_DISPATCH",2,1,1341235,33,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",186,1970372593958974,1970372594312096,24,35332,1024,1,1,8192,5,1
"KERNEL_DISPATCH",2,1,1341235,34,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",191,1970372594366139,1970372594747564,24,35332,1024,1,1,8192,5,1
"KERNEL_DISPATCH",2,1,1341235,35,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",196,1970372594803251,1970372595140897,24,35332,1024,1,1,8192,5,1
"KERNEL_DISPATCH",2,1,1341235,36,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",201,1970372595196704,1970372595533509,24,35332,1024,1,1,8192,5,1
"KERNEL_DISPATCH",2,1,1341235,37,5,"__amd_rocclr_copyBuffer",220,1970372758753480,1970372758756648,0,0,512,1,1,512,1,1
"KERNEL_DISPATCH",2,1,1341235,38,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",223,1970372758819109,1970372758874034,24,35332,1024,1,1,8192,56,1
"KERNEL_DISPATCH",2,1,1341235,39,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",226,1970372758930242,1970372758982600,24,35332,1024,1,1,8192,56,1
